k,mode,mock_id,n_galaxies,lrt_lambda,lrt_reject,lrt_correct,snr_a,snr_b,a_true,b_true,a_hat,b_hat,tp,fp
1,combined,0,226715,338.5207003671803,True,True,"[29.114549873010994, 1.0097650941928793, 0.611232336674794, 2.6414635185184125]","[17.708020053997526, 0.6589202508026063, 4.819975186133698, 0.2343640734894419]","[-0.1655007673598298, 0.0, 0.0, 0.0]","[-0.10875369603666597, 0.0, 0.0, 0.0]","[-0.1810980036179177, 0.006353777303450226, -0.003929970413658367, -0.016430375205961377]","[-0.13984010151921428, 0.005017352828664641, 0.03675399890194399, -0.0018428084688881061]",1.0,0.6666666666666666
1,combined,1,245113,10.255449365693494,True,True,"[6.156571341900245, 0.7547471305628298, 0.9107764696756971, 0.2186104984315426]","[1.7808967521630261, 1.2331869427533064, 1.2113821134039235, 1.9197739978699497]","[0.037779833953523675, 0.0, 0.0, 0.0]","[0.020412616665433377, 0.0, 0.0, 0.0]","[0.03700561600920808, -0.004280845627212346, -0.005582735688103507, -0.00124966063112539]","[0.014435257025139162, -0.009615786350735631, -0.009914970237532992, -0.015062837421842829]",1.0,0.0
1,combined,2,234805,92.22239275612992,True,True,"[23.626673608088094, 0.8330378554285285, 0.1457020737568965, 0.3203979474984337]","[7.209393624021232, 1.9524492537042348, 4.830177768719266, 3.5360634031217324]","[-0.15352977646089802, 0.0, 0.0, 0.0]","[-0.08138348070267823, 0.0, 0.0, 0.0]","[-0.14851599990950257, -0.005071025677872291, 0.0008629236647437861, -0.0018619266035499898]","[-0.055898614849742956, -0.015466034927989909, -0.0382411105339356, -0.026634194063434005]",1.0,0.6666666666666666
1,combined,3,242009,40.522696775822624,True,True,"[6.69816384526351, 1.0902231147552501, 0.24236001875154492, 3.592897608909237]","[5.315801805846082, 1.352670736054206, 2.3476028092674164, 0.8560374207789243]","[0.04418021459930365, 0.0, 0.0, 0.0]","[-0.028170827659685118, 0.0, 0.0, 0.0]","[0.0391061852043797, 0.006238424653577048, 0.0014148990078247028, -0.020221266173634223]","[-0.04241498317407383, 0.010264017560972805, -0.018370155002136634, -0.007173945891705406]",1.0,0.6666666666666666
1,combined,4,248014,11.213990973268665,True,True,"[7.784815676788917, 0.16272203133285373, 1.7397283481964658, 3.8616552018183765]","[1.3147874168358056, 1.3576266290763028, 2.514540167996823, 1.4873469014735612]","[-0.04956708246551158, 0.0, 0.0, 0.0]","[-0.012496887280783815, 0.0, 0.0, 0.0]","[-0.04723131983807911, -0.0009880069349253757, 0.010917839538432991, -0.022758675101508568]","[-0.010796590860381327, -0.010528395118448828, 0.020802388942733233, -0.012078931773095113]",1.0,0.6666666666666666
2,additive,0,243704,24.793208551951466,True,False,"[7.7324005063319285, 31.621434617392655, 0.8304728687507905, 3.595838654621063]","[1.737698413805923, 3.6581033589911054, 1.6969883604709632, 1.5154279720456882]","[-0.05395026835070856, 0.1805512652231566, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.0438245082775156, 0.1796381695337685, 0.0047938669326702075, 0.020305921124444248]","[-0.014406680100586865, 0.02990493523496296, -0.014280436709383953, 0.012269671357561676]",1.0,0.5
2,additive,1,241584,35.79998503527531,True,False,"[14.4525918757904, 20.025270276882953, 0.23129283643491372, 4.333218689400891]","[1.3729125739757544, 2.3281281946389685, 2.2298982407654595, 4.695330366866305]","[-0.09467123636480955, 0.1393706251460694, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.10322484679632674, 0.1351379472077032, -0.0016290448367467095, -0.029801231932510622]","[-0.01090212874823003, 0.0179309218712764, 0.01952095063263288, -0.03691759711639489]",1.0,0.5
2,additive,2,228669,19.963228571170475,True,False,"[7.000003824394289, 11.209685978961529, 5.411942204860953, 3.5491951401577966]","[1.9583736855624059, 1.601732875126232, 0.32165553031771366, 3.6224720227600127]","[-0.04616091669567478, -0.07052086966132029, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.043571709400905906, -0.06860749116103326, 0.03360032600096681, 0.021731325068936946]","[0.016623007447145007, 0.012176450500368734, 0.002467399891313228, 0.026933609546357512]",1.0,1.0
2,additive,3,253076,135.12035084305535,True,False,"[26.739489964016137, 17.705878104044988, 6.31529075466265, 5.1374663797724125]","[2.967936725116863, 0.4848112794928126, 10.591366129969522, 3.955732662401847]","[0.1939628256039105, 0.12390768035248194, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.18630739842530858, 0.12098663153246322, -0.04330514701510624, -0.03502057436286397]","[0.025819216613428137, -0.003950870945455157, -0.07653913125334154, -0.03241093120689339]",1.0,1.0
2,additive,4,242724,82.51095464072569,True,False,"[8.692645482811214, 23.839738568117077, 3.3656355633975803, 5.4146739798576995]","[2.798613825112381, 0.07275979801456703, 0.5737083882416717, 8.505327275983612]","[-0.06667052058737304, -0.18130936749134813, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.06851769483056941, -0.18051610045500177, 0.02653932977539261, 0.04139674317572002]","[-0.023379666204107582, -0.0005684094412749224, -0.004543106830939094, 0.06626941948591561]",1.0,1.0
2,multiplicative,0,243364,540.732797748009,True,True,"[1.658300965936702, 0.9394993666369821, 1.408841206340794, 3.868510504394445]","[5.8081916798819, 23.912792065589557, 1.8248153375833354, 2.173083542989554]","[0.0, 0.0, 0.0, 0.0]","[-0.05395026835070856, 0.1805512652231566, 0.0, 0.0]","[0.009746361949866918, 0.005323938816454564, 0.008285263516761865, 0.02244277332346183]","[-0.0446550188900716, 0.1673444116119165, -0.0146751550747136, 0.01709798463143022]",1.0,0.5
2,multiplicative,1,242462,457.78514663165515,True,True,"[1.037985100360189, 0.8242911150086171, 0.6236713990699719, 4.839766205510842]","[12.58623843182931, 16.94677263524632, 3.1684609668823494, 4.843785507355701]","[0.0, 0.0, 0.0, 0.0]","[-0.09467123636480955, 0.1393706251460694, 0.0, 0.0]","[-0.007359588588627936, -0.00565504466040049, 0.004498814432368735, -0.03408780267425217]","[-0.09224323972883242, 0.12506218789474713, 0.026654692036735445, -0.037667214835316605]",1.0,1.0
2,multiplicative,2,228628,76.04948476968093,True,True,"[1.047225929352266, 0.6544605184498747, 4.711058010218937, 4.400277817365273]","[1.5793610637781323, 7.439954983972879, 0.11483251415056173, 4.1798837701107825]","[0.0, 0.0, 0.0, 0.0]","[-0.04616091669567478, -0.07052086966132029, 0.0, 0.0]","[0.006628865624707854, 0.004093347746859083, 0.03046431005244488, 0.02810943258015355]","[-0.013725490343215808, -0.05581716642900739, -0.0008689985181830666, 0.030712840942103043]",0.5,0.5
2,multiplicative,3,252516,827.199091381659,True,True,"[1.1714888699458985, 0.9330590825476468, 5.95557779516974, 4.936410103856844]","[27.01620006693759, 15.153145420885911, 12.016060785413728, 0.9174468820835289]","[0.0, 0.0, 0.0, 0.0]","[0.1939628256039105, 0.12390768035248194, 0.0, 0.0]","[0.008440378941619258, 0.006303070969349937, -0.04309141415944223, -0.034827098101188184]","[0.1721749610036519, 0.10964984786954293, -0.08094519169170074, -0.007385653308233514]",1.0,0.5
2,multiplicative,4,244244,614.1514945092022,True,True,"[0.718807684007713, 0.25173401640934995, 3.360877547085892, 5.293421491787607]","[9.197217648671604, 22.173619141452072, 1.2698464502391515, 8.842173527230429]","[0.0, 0.0, 0.0, 0.0]","[-0.06667052058737304, -0.18130936749134813, 0.0, 0.0]","[-0.0057535177570594, -0.0019916224006340617, 0.026117878321535747, 0.041824818070904074]","[-0.06600843597185675, -0.1599392010538516, -0.009679749897645409, 0.0655627987226704]",1.0,0.5
2,combined,0,244235,522.944630869224,True,True,"[7.234241622860376, 31.44274669639547, 1.40902057096036, 3.573333005997192]","[23.862944048159363, 10.544438683694596, 1.021834108326598, 2.9327863787896713]","[-0.05395026835070856, 0.1805512652231566, 0.0, 0.0]","[0.20953021794271406, 0.04758538913768311, 0.0, 0.0]","[-0.042209173758323816, 0.18043535525282722, 0.008182495990837917, 0.020973501737775433]","[0.16391348887941143, 0.07763946199035592, -0.008560211949183836, 0.022188510717631667]",1.0,0.5
2,combined,1,241780,113.1749218236182,True,True,"[14.944267339438841, 19.203356642667192, 0.11112079420221634, 4.6688892874253884]","[1.3199247834669985, 9.564102727587004, 2.67244368489117, 4.553395243580605]","[-0.09467123636480955, 0.1393706251460694, 0.0, 0.0]","[0.005072177427518137, -0.10740484127435886, 0.0, 0.0]","[-0.10444064263690943, 0.1335763761359805, 0.0008004869815003993, -0.03161951391104136]","[-0.010768667721898823, -0.0755445753746702, 0.0233119517883438, -0.036066255750857194]",1.0,1.0
2,combined,2,229078,67.32672044819083,True,True,"[7.873084858617766, 11.169296081209934, 5.227240138181476, 3.51390583657885]","[7.2734798099722715, 2.435136946541836, 1.2045236274594675, 3.4311483078833827]","[-0.04616091669567478, -0.07052086966132029, 0.0, 0.0]","[0.04876832397762646, -0.027820779510864316, 0.0, 0.0]","[-0.04868563673788432, -0.06927007861501883, 0.03267027890519185, 0.02191976308037506]","[0.06097316308329435, -0.018830975214302548, -0.009215890592158589, 0.024405414139695103]",1.0,1.0
2,combined,3,253762,821.6600535600319,True,True,"[28.538296609459806, 17.755202971875306, 6.33031562338994, 5.579326771336451]","[30.88046290868734, 1.0779867870636042, 11.002470490975114, 3.532773276107493]","[0.1939628256039105, 0.12390768035248194, 0.0, 0.0]","[0.20822073825802206, -0.018909329551211367, 0.0, 0.0]","[0.19874069429221702, 0.1223147570252294, -0.04590742307147399, -0.038499040764636915]","[0.2109424222036469, -0.008119554892964113, -0.07618547606050469, -0.0271317123339674]",1.0,1.0
2,combined,4,243320,1190.7281925504867,True,True,"[9.695466522261452, 22.685171177895516, 3.2884298692669853, 5.410579654562175]","[38.658693149614344, 8.313847132818639, 0.7449596155604861, 6.937513756787807]","[-0.06667052058737304, -0.18130936749134813, 0.0, 0.0]","[-0.24260903243804366, -0.05918327160177793, 0.0, 0.0]","[-0.07951655062846376, -0.18669040869048062, 0.02683246897050494, 0.04282753415719346]","[-0.2277292430809291, -0.06288507510678754, -0.0055878291019241435, 0.054394646503459085]",1.0,1.0
3,additive,0,231266,27.594429971506543,True,False,"[39.07798739025262, 20.754568771187706, 24.83152981502255, 6.31125896336669]","[2.8332306445601425, 1.7624083316928876, 2.581845097104474, 3.2730049389517353]","[0.2361961714752195, 0.11149250800542286, -0.14548332263364863, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.23525061642431885, 0.11996415280501194, -0.14606001973939411, -0.03689614606438439]","[0.02248811927090497, 0.013324393042896404, -0.02132597237506611, -0.02672264783798803]",1.0,1.0
3,additive,1,231684,74.42928778717032,True,False,"[3.866081524427984, 22.980184032557016, 16.298051054391284, 0.5765194479115292]","[3.258517775284011, 0.6513620287614765, 7.914886392221146, 1.9115557396065783]","[0.03523757588638098, 0.1418699975864273, -0.11189400901200909, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.02530124509974701, 0.14716857082698065, -0.10710509066651056, 0.003828468416966545]","[-0.027632610566937173, 0.005233149595933465, 0.05593905576560745, 0.014210549839674605]",1.0,0.0
3,additive,2,248298,3.2518392529291305,False,True,"[2.306661319688861, 2.46660151147722, 13.087647443269988, 3.7809807345485327]","[0.6345082425350899, 1.6128223532936292, 0.5742579865117853, 0.17875864629183263]","[0.01495019891880212, -0.03320039037497186, -0.07916879359096, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.016769434198580818, -0.017600455151700216, -0.09823258150237633, -0.02655376962860259]","[0.0050698499579862775, 0.012618570600931286, -0.004966291665897925, 0.0013758705038419668]",1.0,1.0
3,additive,3,255424,57.65130703042996,True,False,"[32.0946693521424, 20.259877759809513, 22.416288188482802, 1.8035242981759128]","[3.459842856058337, 2.4894176292882193, 6.311260831105068, 0.8079262036583625]","[0.20900700254792484, 0.12588809070812576, 0.12861663819875063, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.19530974169257662, 0.11862324371487543, 0.13648637371761227, 0.010607919215703471]","[0.02657981158582129, 0.019755557011387887, 0.048117051695680674, -0.006229813304042115]",1.0,0.0
3,additive,4,244697,67.88474926788331,True,False,"[64.0607817745562, 10.74377309007881, 32.74754326554749, 0.6252602633834373]","[8.341885911509411, 0.9708139058797204, 1.2916006468006118, 0.24979516074164612]","[0.4401236655735646, -0.08220895841820706, 0.2960607476721739, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.4153942611681473, -0.06849548995374516, 0.2116424944358948, 0.004026443454085447]","[0.06688327189683563, -0.007781124599734733, 0.011362795977719909, -0.002093183164654611]",1.0,0.0
