seed,nside,scenario,level,method,A_add,A_mult,dA_add,dA_mult,bias_contaminated,bias_recovered,improvement
2,128,combined,low,OLS,0.0416683,0.0499086,0.0896026,0.0499086,2.17827,2.54616,0.855512
2,128,combined,low,ISD-1,0.0416683,0.0499086,0.0225208,0.0499086,2.17827,2.43142,0.895886
2,128,combined,low,ISD-3,0.0416683,0.0499086,0.0243999,0.0499086,2.17827,2.43168,0.895788
2,128,combined,low,ElasticNet,0.0416683,0.0499086,0.0894264,0.0499086,2.17827,2.58468,0.842762
2,128,combined,low,MCMC-add,0.0416683,0.0499086,0.0896281,0.0499086,2.17827,4.96419,0.438797
2,128,combined,low,MCMC-comb,0.0416683,0.0499086,0.0870085,0.0244015,2.17827,4.68743,0.464705
2,128,additive,medium,OLS,0.104171,0,0.0664449,0,3.45855,0.558407,6.1936
2,128,additive,medium,ISD-1,0.104171,0,0.0565122,0,3.45855,1.44553,2.39259
2,128,additive,medium,ISD-3,0.104171,0,0.0565254,0,3.45855,1.5086,2.29255
2,128,additive,medium,ElasticNet,0.104171,0,0.0660861,0,3.45855,0.598607,5.77767
2,128,additive,medium,MCMC-add,0.104171,0,0.0664695,0,3.45855,4.58664,0.754049
2,128,additive,medium,MCMC-comb,0.104171,0,0.0640389,0.0270781,3.45855,2.55671,1.35274
2,128,multiplicative,medium,OLS,0,0.124771,0.105348,0.124771,2.63351,2.57014,1.02466
2,128,multiplicative,medium,ISD-1,0,0.124771,0,0.124771,2.63351,2.63351,1
2,128,multiplicative,medium,ISD-3,0,0.124771,0.00642246,0.124771,2.63351,2.53724,1.03794
2,128,multiplicative,medium,ElasticNet,0,0.124771,0.105231,0.124771,2.63351,2.58969,1.01692
2,128,multiplicative,medium,MCMC-add,0,0.124771,0.105373,0.124771,2.63351,4.81696,0.546716
2,128,multiplicative,medium,MCMC-comb,0,0.124771,0.103323,0.0438844,2.63351,5.60611,0.469757
2,128,combined,medium,OLS,0.104171,0.124771,0.0590539,0.124771,4.64333,6.11614,0.759193
2,128,combined,medium,ISD-1,0.104171,0.124771,0.0521705,0.124771,4.64333,5.46323,0.849924
2,128,combined,medium,ISD-3,0.104171,0.124771,0.051956,0.124771,4.64333,5.36319,0.865777
2,128,combined,medium,ElasticNet,0.104171,0.124771,0.0585807,0.124771,4.64333,6.10693,0.760338
2,128,combined,medium,MCMC-add,0.104171,0.124771,0.0590792,0.124771,4.64333,1.4742,3.14973
2,128,combined,medium,MCMC-comb,0.104171,0.124771,0.05654,0.0382458,4.64333,1.78858,2.5961
2,128,additive,high,OLS,0.208342,0,0.0479814,0,13.0393,17.0482,0.764852
2,128,additive,high,ISD-1,0.208342,0,0.112019,0,13.0393,1.46238,8.91654
2,128,additive,high,ISD-3,0.208342,0,0.109678,0,13.0393,1.46579,8.89578
2,128,additive,high,ElasticNet,0.208342,0,0.0478271,0,13.0393,16.8385,0.774376
2,128,additive,high,MCMC-add,0.208342,0,0.0479904,0,13.0393,2.55672,5.10004
2,128,additive,high,MCMC-comb,0.208342,0,0.0530522,0.0480929,13.0393,1.10584,11.7914
2,128,multiplicative,high,OLS,0,0.249543,0.102501,0.249543,3.8789,4.74863,0.816845
2,128,multiplicative,high,ISD-1,0,0.249543,0.0128421,0.249543,3.8789,4.50535,0.860953
2,128,multiplicative,high,ISD-3,0,0.249543,0.0118533,0.249543,3.8789,4.44471,0.8727
2,128,multiplicative,high,ElasticNet,0,0.249543,0.102371,0.249543,3.8789,4.75359,0.815993
2,128,multiplicative,high,MCMC-add,0,0.249543,0.102526,0.249543,3.8789,3.15768,1.2284
2,128,multiplicative,high,MCMC-comb,0,0.249543,0.0998264,0.132978,3.8789,3.017,1.28568
2,128,combined,high,OLS,0.208342,0.249543,0.0180065,0.249543,16.8401,11.4989,1.46449
2,128,combined,high,ISD-1,0.208342,0.249543,0.100828,0.249543,16.8401,8.87945,1.89652
2,128,combined,high,ISD-3,0.208342,0.249543,0.103389,0.249543,16.8401,9.2814,1.81439
2,128,combined,high,ElasticNet,0.208342,0.249543,0.0173692,0.249543,16.8401,11.4953,1.46495
2,128,combined,high,MCMC-add,0.208342,0.249543,0.0180159,0.249543,16.8401,1.88705,8.92403
2,128,combined,high,MCMC-comb,0.208342,0.249543,0.0424141,0.142352,16.8401,3.5488,4.74529
3,32,additive,low,OLS,0.0408059,0,0.0136825,0,0.66083,0.236903,2.78945
3,32,additive,low,ISD-1,0.0408059,0,0.0231935,0,0.66083,0.173002,3.81979
3,32,additive,low,ISD-3,0.0408059,0,0.0226462,0,0.66083,0.145904,4.52921
3,32,additive,low,ElasticNet,0.0408059,0,0.0217624,0,0.66083,0.186146,3.55006
3,32,additive,low,MCMC-add,0.0408059,0,0.0136968,0,0.66083,0.152232,4.34093
3,32,additive,low,MCMC-comb,0.0408059,0,0.0137221,0.159606,0.66083,0.942601,0.701071
3,32,multiplicative,low,OLS,0,0.0349212,0.00737879,0.0349212,0.168188,0.16671,1.00886
3,32,multiplicative,low,ISD-1,0,0.0349212,0,0.0349212,0.168188,0.168188,1
3,32,multiplicative,low,ISD-3,0,0.0349212,0,0.0349212,0.168188,0.168188,1
3,32,multiplicative,low,ElasticNet,0,0.0349212,0.00254142,0.0349212,0.168188,0.184822,0.910002
3,32,multiplicative,low,MCMC-add,0,0.0349212,0.00736587,0.0349212,0.168188,0.2039,0.824855
3,32,multiplicative,low,MCMC-comb,0,0.0349212,0.00754142,0.175777,0.168188,0.882873,0.190501
3,32,combined,low,OLS,0.0408059,0.0349212,0.0137386,0.0349212,0.751606,0.122784,6.12137
3,32,combined,low,ISD-1,0.0408059,0.0349212,0.0233214,0.0349212,0.751606,0.261041,2.87927
3,32,combined,low,ISD-3,0.0408059,0.0349212,0.0227844,0.0349212,0.751606,0.186024,4.04036
3,32,combined,low,ElasticNet,0.0408059,0.0349212,0.0218531,0.0349212,0.751606,0.150899,4.98087
3,32,combined,low,MCMC-add,0.0408059,0.0349212,0.0137529,0.0349212,0.751606,0.133797,5.61751
3,32,combined,low,MCMC-comb,0.0408059,0.0349212,0.0140451,0.165172,0.751606,0.972157,0.773133
3,32,additive,medium,OLS,0.102015,0,0.0395468,0,3.65751,0.249972,14.6317
3,32,additive,medium,ISD-1,0.102015,0,0.0513459,0,3.65751,0.703465,5.19928
3,32,additive,medium,ISD-3,0.102015,0,0.0516008,0,3.65751,0.576757,6.3415
3,32,additive,medium,ElasticNet,0.102015,0,0.0401969,0,3.65751,0.225898,16.191
3,32,additive,medium,MCMC-add,0.102015,0,0.0395627,0,3.65751,0.239781,15.2535
3,32,additive,medium,MCMC-comb,0.102015,0,0.0394887,0.154078,3.65751,0.973514,3.75702
3,32,multiplicative,medium,OLS,0,0.0873031,0.00751437,0.0873031,0.353935,0.30403,1.16415
3,32,multiplicative,medium,ISD-1,0,0.0873031,0,0.0873031,0.353935,0.353935,1
3,32,multiplicative,medium,ISD-3,0,0.0873031,0,0.0873031,0.353935,0.353935,1
3,32,multiplicative,medium,ElasticNet,0,0.0873031,0.00260459,0.0873031,0.353935,0.403558,0.877037
3,32,multiplicative,medium,MCMC-add,0,0.0873031,0.00750145,0.0873031,0.353935,0.368169,0.96134
3,32,multiplicative,medium,MCMC-comb,0,0.0873031,0.00771668,0.171194,0.353935,0.906353,0.390505
3,32,combined,medium,OLS,0.102015,0.0873031,0.0396148,0.0873031,3.87521,0.895462,4.32761
3,32,combined,medium,ISD-1,0.102015,0.0873031,0.0517485,0.0873031,3.87521,0.804255,4.81839
3,32,combined,medium,ISD-3,0.102015,0.0873031,0.0519298,0.0873031,3.87521,0.725984,5.33788
3,32,combined,medium,ElasticNet,0.102015,0.0873031,0.0401453,0.0873031,3.87521,0.922659,4.20005
3,32,combined,medium,MCMC-add,0.102015,0.0873031,0.039631,0.0873031,3.87521,0.261197,14.8364
3,32,combined,medium,MCMC-comb,0.102015,0.0873031,0.0402304,0.159728,3.87521,0.998558,3.88081
3,32,additive,high,OLS,0.20403,0,0.0837061,0,13.1447,3.60657,3.64467
3,32,additive,high,ISD-1,0.20403,0,0.101307,0,13.1447,2.87314,4.57505
3,32,additive,high,ISD-3,0.20403,0,0.100002,0,13.1447,2.88297,4.55944
3,32,additive,high,ElasticNet,0.20403,0,0.0846104,0,13.1447,3.59606,3.65531
3,32,additive,high,MCMC-add,0.20403,0,0.0837222,0,13.1447,0.284445,46.2119
3,32,additive,high,MCMC-comb,0.20403,0,0.0842955,0.11869,13.1447,0.372637,35.2749
3,32,multiplicative,high,OLS,0,0.174606,0.0078014,0.174606,0.780991,0.709771,1.10034
3,32,multiplicative,high,ISD-1,0,0.174606,0,0.174606,0.780991,0.780991,1
3,32,multiplicative,high,ISD-3,0,0.174606,0,0.174606,0.780991,0.780991,1
3,32,multiplicative,high,ElasticNet,0,0.174606,0.00224432,0.174606,0.780991,0.859912,0.908222
3,32,multiplicative,high,MCMC-add,0,0.174606,0.00778849,0.174606,0.780991,0.813204,0.960387
3,32,multiplicative,high,MCMC-comb,0,0.174606,0.00934046,0.196244,0.780991,1.01217,0.771604
3,32,combined,high,OLS,0.20403,0.174606,0.0840082,0.174606,13.6021,2.9414,4.62438
3,32,combined,high,ISD-1,0.20403,0.174606,0.105994,0.174606,13.6021,3.196,4.25599
3,32,combined,high,ISD-3,0.20403,0.174606,0.101124,0.174606,13.6021,3.17485,4.28434
3,32,combined,high,ElasticNet,0.20403,0.174606,0.0849151,0.174606,13.6021,2.89825,4.69323
3,32,combined,high,MCMC-add,0.20403,0.174606,0.084025,0.174606,13.6021,0.877385,15.503
3,32,combined,high,MCMC-comb,0.20403,0.174606,0.0860202,0.130411,13.6021,0.585412,23.2352
3,64,additive,low,OLS,0.0413661,0,0.00963121,0,0.637531,0.334399,1.9065
3,64,additive,low,ISD-1,0.0413661,0,0.0219511,0,0.637531,0.406827,1.56708
3,64,additive,low,ISD-3,0.0413661,0,0.0194627,0,0.637531,0.246189,2.5896
