nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median,cell
32,5,5954,2000,127,0.4,clustered,1.5,3.62488,5.02899,4.23133,0.4043,0.9185,0.0211308,0.00613655,ns32_slope1.5_sc0.4
32,7,5954,2000,127,0.4,clustered,1.5,3.63256,5.25143,4.14605,0.385357,0.95,0.0212038,0.00630901,ns32_slope1.5_sc0.4
32,9,5954,2000,127,0.4,clustered,1.5,2.55612,5.09098,3.82658,0.313278,0.956,0.0219022,0.00692367,ns32_slope1.5_sc0.4
32,11,5954,2000,127,0.4,clustered,1.5,2.41933,5.03871,3.45739,0.255227,0.9555,0.0212194,0.00922769,ns32_slope1.5_sc0.4
32,3,5954,2000,127,0,shot-only,0,1.01739,1.02664,1.0213,0.0025,0.0075,0.00145342,0.00141571,ns32_slope2.0_sc0.2
32,5,5954,2000,127,0,shot-only,0,0.997122,1.00295,0.999805,0.0019,0.0095,0.00128841,0.00129111,ns32_slope2.0_sc0.2
32,7,5954,2000,127,0,shot-only,0,1.00664,1.03042,1.00541,0.00257143,0.016,0.00134751,0.00133102,ns32_slope2.0_sc0.2
32,9,5954,2000,127,0,shot-only,0,0.994264,1.0198,1.00078,0.00255556,0.021,0.00144442,0.00146202,ns32_slope2.0_sc0.2
32,11,5954,2000,127,0,shot-only,0,0.991227,1.01712,0.996176,0.00240909,0.0235,0.00192864,0.00194799,ns32_slope2.0_sc0.2
32,3,5954,2000,127,0.2,clustered,2,6.8666,7.39325,7.0921,0.654833,0.9505,0.024016,0.00345753,ns32_slope2.0_sc0.2
32,5,5954,2000,127,0.2,clustered,2,5.58975,7.30188,6.18669,0.5659,0.984,0.0166596,0.00313743,ns32_slope2.0_sc0.2
32,7,5954,2000,127,0.2,clustered,2,5.54423,8.13098,6.19218,0.532,0.9925,0.0165299,0.00322247,ns32_slope2.0_sc0.2
32,9,5954,2000,127,0.2,clustered,2,3.49162,7.87559,5.61681,0.434056,0.994,0.016432,0.00353329,ns32_slope2.0_sc0.2
32,11,5954,2000,127,0.2,clustered,2,3.38227,7.98986,5.14787,0.360318,0.992,0.0112146,0.00470656,ns32_slope2.0_sc0.2
32,3,5954,2000,127,0,shot-only,0,1.00151,1.01293,1.0072,0.00316667,0.009,0.00141764,0.0014155,ns32_slope2.0_sc0.4
32,5,5954,2000,127,0,shot-only,0,1.00614,1.03111,1.0044,0.0027,0.0135,0.00131268,0.00129174,ns32_slope2.0_sc0.4
32,7,5954,2000,127,0,shot-only,0,1.01897,1.02896,1.009,0.00257143,0.017,0.00136108,0.00133106,ns32_slope2.0_sc0.4
32,9,5954,2000,127,0,shot-only,0,1.009,1.01601,0.996071,0.003,0.0245,0.00147088,0.0014615,ns32_slope2.0_sc0.4
32,11,5954,2000,127,0,shot-only,0,0.998403,1.01697,0.994757,0.00231818,0.024,0.00190197,0.00194715,ns32_slope2.0_sc0.4
32,3,5954,2000,127,0.4,clustered,2,7.38783,7.54382,7.41225,0.661167,0.9625,0.0495694,0.00663291,ns32_slope2.0_sc0.4
32,5,5954,2000,127,0.4,clustered,2,5.82134,7.73744,6.52867,0.5851,0.989,0.033412,0.00604199,ns32_slope2.0_sc0.4
32,7,5954,2000,127,0.4,clustered,2,5.87625,8.55923,6.50469,0.554,0.996,0.0335355,0.00616829,ns32_slope2.0_sc0.4
32,9,5954,2000,127,0.4,clustered,2,3.62271,8.45613,5.8835,0.447,0.993,0.0326929,0.0067754,ns32_slope2.0_sc0.4
32,11,5954,2000,127,0.4,clustered,2,3.55478,8.1249,5.29528,0.375455,0.9925,0.0230183,0.00902495,ns32_slope2.0_sc0.4
32,3,5954,2000,127,0,shot-only,0,0.999246,1.00205,0.996805,0.00233333,0.007,0.00137762,0.00141495,ns32_slope2.5_sc0.2
32,5,5954,2000,127,0,shot-only,0,1.00689,1.03058,1.00651,0.0025,0.0125,0.0013003,0.0012914,ns32_slope2.5_sc0.2
32,7,5954,2000,127,0,shot-only,0,0.999408,1.01541,1.00143,0.00278571,0.0165,0.00135187,0.00133136,ns32_slope2.5_sc0.2
32,9,5954,2000,127,0,shot-only,0,0.997445,1.01715,0.9983,0.00244444,0.0205,0.00145052,0.00146204,ns32_slope2.5_sc0.2
32,11,5954,2000,127,0,shot-only,0,0.997544,1.01577,0.99472,0.00286364,0.03,0.00191326,0.00194818,ns32_slope2.5_sc0.2
32,3,5954,2000,127,0.2,clustered,2.5,9.2381,9.64596,9.39428,0.725167,0.98,0.031798,0.0034027,ns32_slope2.5_sc0.2
32,5,5954,2000,127,0.2,clustered,2.5,7.6345,9.59798,8.32742,0.6626,0.995,0.0223437,0.00308088,ns32_slope2.5_sc0.2
32,7,5954,2000,127,0.2,clustered,2.5,7.62263,11.9314,8.62233,0.640929,0.998,0.0221734,0.00314403,ns32_slope2.5_sc0.2
32,9,5954,2000,127,0.2,clustered,2.5,4.72963,11.1741,7.57754,0.523778,0.999,0.0215878,0.00342685,ns32_slope2.5_sc0.2
