nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median,cell
64,11,22641,2000,127,0.4,clustered,2.5,8.07678,19.4854,12.8027,0.562136,1,0.0246651,0.00435707,ns64_slope2.5_sc0.4
64,3,22641,2000,127,0,shot-only,0,0.990331,0.993225,0.9874,0.00233333,0.0065,0.00070288,0.000714882,ns64_slope3.0_sc0.2
64,5,22641,2000,127,0,shot-only,0,1.00402,1.01895,0.999342,0.0031,0.015,0.000650527,0.000642627,ns64_slope3.0_sc0.2
64,7,22641,2000,127,0,shot-only,0,1.01173,1.03624,1.00638,0.00228571,0.015,0.000675371,0.000666393,ns64_slope3.0_sc0.2
64,9,22641,2000,127,0,shot-only,0,0.9941,1.01361,0.99784,0.00211111,0.0185,0.00075068,0.000740598,ns64_slope3.0_sc0.2
64,11,22641,2000,127,0,shot-only,0,1.0086,1.02446,1.0048,0.00254545,0.025,0.000962083,0.000967387,ns64_slope3.0_sc0.2
64,3,22641,2000,127,0.2,clustered,3,20.2259,22.6165,21.4441,0.883833,0.999,0.0342465,0.00167882,ns64_slope3.0_sc0.2
64,5,22641,2000,127,0.2,clustered,3,16.491,22.2991,18.5091,0.8458,1,0.0237997,0.00149073,ns64_slope3.0_sc0.2
64,7,22641,2000,127,0.2,clustered,3,16.5064,24.6408,18.4878,0.824143,1,0.0236129,0.00152727,ns64_slope3.0_sc0.2
64,9,22641,2000,127,0.2,clustered,3,9.79271,24.402,16.7051,0.700556,1,0.021188,0.00169948,ns64_slope3.0_sc0.2
64,11,22641,2000,127,0.2,clustered,3,10.0843,23.9639,15.2536,0.590409,1,0.0159038,0.00223645,ns64_slope3.0_sc0.2
64,3,22641,2000,127,0,shot-only,0,1.02889,1.04542,1.01573,0.00316667,0.0095,0.000717421,0.000714844,ns64_slope3.0_sc0.4
64,5,22641,2000,127,0,shot-only,0,1.01391,1.03051,1.01318,0.0035,0.017,0.000657929,0.000642647,ns64_slope3.0_sc0.4
64,7,22641,2000,127,0,shot-only,0,1.01295,1.02537,1.00542,0.00221429,0.014,0.000683409,0.000666497,ns64_slope3.0_sc0.4
64,9,22641,2000,127,0,shot-only,0,1.00119,1.01382,1.0034,0.00144444,0.0125,0.000743142,0.000740545,ns64_slope3.0_sc0.4
64,11,22641,2000,127,0,shot-only,0,1.0127,1.04358,1.00793,0.00213636,0.022,0.000989472,0.000967222,ns64_slope3.0_sc0.4
64,3,22641,2000,127,0.4,clustered,3,22.5056,24.0193,22.7154,0.882167,0.999,0.0722315,0.00318224,ns64_slope3.0_sc0.4
64,5,22641,2000,127,0.4,clustered,3,17.7714,23.9384,19.7806,0.8545,1,0.0486282,0.00282646,ns64_slope3.0_sc0.4
64,7,22641,2000,127,0.4,clustered,3,18.3674,26.0554,19.7354,0.835643,1,0.0496971,0.0028887,ns64_slope3.0_sc0.4
64,9,22641,2000,127,0.4,clustered,3,10.3065,26.264,17.7291,0.715889,1,0.0428813,0.00320702,ns64_slope3.0_sc0.4
64,11,22641,2000,127,0.4,clustered,3,10.4856,25.8602,16.0977,0.599455,1,0.0314554,0.00421067,ns64_slope3.0_sc0.4
