k,mode,mock_id,n_galaxies,lrt_lambda,lrt_reject,lrt_correct,snr_a,snr_b,a_true,b_true,a_hat,b_hat,tp,fp
1,multiplicative,9,240525,73.16777745045147,True,True,"[0.7413638580318413, 2.060666039123093, 4.66549003965147, 5.561205080652817, 0.40199903988333163]","[0.9854406878432281, 2.0618348817984966, 3.2676396830655303, 4.582641298097366, 3.105113025992492]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.02697586815480386, 0.0, 0.0, 0.0, 0.0]","[-0.004398502371265769, -0.012223686035030993, 0.028666312848001543, 0.03300692599257492, -0.0022706223582233164]","[0.007923160739063918, -0.017135580573146375, 0.02977613766941492, 0.04458610105032877, -0.024166621643854545]",0.0,1.0
1,combined,0,226715,329.2451262913346,True,True,"[23.773727417865132, 0.9524911775779601, 0.4780807097196743, 1.7099095523147776, 0.13846641985967212]","[7.9529767093454256, 1.0658069943910082, 1.2954867642509191, 0.6535483212438783, 0.28714589100145016]","[-0.1655007673598298, 0.0, 0.0, 0.0, 0.0]","[-0.10875369603666597, 0.0, 0.0, 0.0, 0.0]","[-0.18075982647763766, 0.005962525986015387, -0.003268881049692085, -0.014191671462148482, -0.0008479008417152048]","[-0.14277490198005716, 0.017237393107494406, 0.02505626808084467, -0.0077574442404985955, -0.005247305979465572]",1.0,0.0
1,combined,1,245113,15.854592058796698,True,True,"[5.973207234458845, 0.6986964246263819, 0.9161687652787015, 0.15392664083264074, 0.3658120265232955]","[1.9724684283758112, 1.12885839393907, 0.8944492582433055, 1.9393893733072893, 2.29513734545368]","[0.037779833953523675, 0.0, 0.0, 0.0, 0.0]","[0.020412616665433377, 0.0, 0.0, 0.0, 0.0]","[0.03643871644611797, -0.0038885743886175298, -0.005495381905606812, -0.0008892012611601083, -0.0021192855276509514]","[0.01576476549811073, -0.009047397292081224, -0.0075311169050786934, -0.014719538669820575, 0.017652242365452816]",1.0,0.25
1,combined,2,234805,101.2772030612341,True,True,"[16.481666182432765, 0.6927312988680532, 0.06812739221955273, 0.2330882984998296, 0.3825873754399431]","[5.098055843187729, 2.1658694015402316, 1.9975003747761015, 3.8473321176130906, 2.484420928731361]","[-0.15352977646089802, 0.0, 0.0, 0.0, 0.0]","[-0.08138348070267823, 0.0, 0.0, 0.0, 0.0]","[-0.14678046267897255, -0.004367722003673134, 0.00041137674928375806, -0.0014968591402909279, 0.0024892562143195678]","[-0.05799992325092577, -0.017163062178432206, -0.02807596916397272, -0.030595542611506057, 0.024388934424182242]",1.0,0.75
1,combined,3,242009,45.61195039714221,True,True,"[6.399352198710182, 1.0266314648863204, 0.07487329982977048, 3.361087070390487, 0.39379512937716105]","[4.7410631236107905, 1.193547899723697, 1.5663998949230684, 0.6916226555480308, 1.7891452028149202]","[0.04418021459930365, 0.0, 0.0, 0.0, 0.0]","[-0.028170827659685118, 0.0, 0.0, 0.0, 0.0]","[0.038694330981445584, 0.0057672861584548785, 0.0004376411264607532, -0.019695325140632138, 0.002290959320726009]","[-0.04106559609847008, 0.00972841248606631, -0.013224097246490443, -0.005757013462175533, 0.015149363110279935]",1.0,0.25
1,combined,4,248014,11.450593700266836,True,True,"[7.409189054561267, 0.13625038845350948, 1.6400969205969225, 3.5960783084487598, 0.6772509352405118]","[1.4598496941930055, 1.1489532122520898, 2.3414322467183823, 1.55404312787373, 0.6761860350929159]","[-0.04956708246551158, 0.0, 0.0, 0.0, 0.0]","[-0.012496887280783815, 0.0, 0.0, 0.0, 0.0]","[-0.04703345621831678, -0.0008172202118065973, 0.010259931663690769, -0.022271106763239637, -0.00399516299673263]","[-0.011575242638445357, -0.009668146799985535, 0.020315100335072764, -0.012877050404748932, -0.005159940522547324]",1.0,0.5
1,combined,5,244268,248.1661124610855,True,True,"[11.255055406404622, 0.9619596197891966, 3.124933514001625, 0.9000257573967827, 1.5657702860961111]","[5.338607826467252, 2.0563571404403804, 0.8670817482682285, 4.2951474237759495, 3.7405403419372423]","[0.08679199704532214, 0.0, 0.0, 0.0, 0.0]","[-0.13516372334051155, 0.0, 0.0, 0.0, 0.0]","[0.08042083567853614, 0.006541185237606145, -0.021668426595343657, -0.006197550040517592, 0.010501433997649927]","[-0.10156079033359484, 0.018706062639544784, -0.007570006404946098, 0.035037138361603506, 0.034459010754950725]",1.0,1.0
1,combined,6,251403,151.13064438602305,True,True,"[26.889600925849017, 1.3586712640327476, 1.107476101372922, 2.2264928546809757, 0.053351093156849154]","[5.353570423158841, 1.5188490658054026, 0.12101080180364725, 1.418575338019052, 1.1914560336341729]","[0.2960642689164259, 0.0, 0.0, 0.0, 0.0]","[0.10636852046988177, 0.0, 0.0, 0.0, 0.0]","[0.2888227659048926, 0.008938873272876968, 0.0073546362777251045, 0.017121142789607552, 0.00033764826453233236]","[0.09763771787262732, -0.014017488203332183, -0.0029614630527324062, 0.01983821661807579, 0.01206253808298091]",1.0,0.25
1,combined,7,244235,225.644944572623,True,True,"[11.635219739902999, 0.034190684274702496, 2.387140367902941, 4.431236780593338, 0.5725608379207493]","[5.062200227911776, 0.7475528187444831, 3.804660502026609, 4.271609331513651, 0.9753331574715133]","[-0.09901240006555082, 0.0, 0.0, 0.0, 0.0]","[-0.12438139724555959, 0.0, 0.0, 0.0, 0.0]","[-0.0973548645196915, 0.0002097231538200114, 0.015352367971210874, -0.02823804382855087, -0.0035751928981805335]","[-0.09919376645396857, 0.005853011502289166, 0.03673130905258202, -0.03826325094188391, 0.008384323488971269]",1.0,0.5
1,combined,8,237028,277.27975243115,True,True,"[4.582502297112426, 0.5028908849819829, 7.5647890015222545, 2.9450100209217682, 1.7280703662061578]","[4.084839293614336, 0.6567369712739045, 4.345097061533133, 2.4198148978502827, 5.730085381260695]","[-0.03304269794611896, 0.0, 0.0, 0.0, 0.0]","[-0.10497482254605038, 0.0, 0.0, 0.0, 0.0]","[-0.029972634341086112, -0.003088015884227486, 0.04910486560360039, 0.018353572421253784, 0.010646654875921261]","[-0.07175552965333391, 0.005761102738380142, 0.06728921547085681, 0.02693055082517653, 0.05194420149459735]",1.0,0.75
1,combined,9,241076,729.5871343849067,True,True,"[3.864125187419688, 2.662959170873936, 4.323425009386822, 5.456536120793515, 0.049830392098032854]","[5.189917423580993, 1.293524183421736, 3.091011831849489, 4.081679040805185, 1.2536276728596998]","[0.02697586815480386, 0.0, 0.0, 0.0, 0.0]","[-0.2360485614125779, 0.0, 0.0, 0.0, 0.0]","[0.022682856203631724, -0.015509839028062196, 0.028218809348414194, 0.03455125288685652, -0.0002998847762498536]","[-0.1897656204666211, -0.013520852344275844, 0.05038241549667913, 0.03589549403258447, -0.013756931936406348]",1.0,0.75
2,additive,0,243704,33.06648803652024,True,False,"[5.193008210575011, 11.931130685653557, 0.6792623784269604, 3.201375591238943, 1.332760323498096]","[1.5578373985978222, 3.4397985719273554, 1.6311651399760925, 1.4202114279434521, 3.1786355972165348]","[-0.05395026835070856, 0.1805512652231566, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.04365541629282377, 0.17826332618599947, 0.0068225034495614425, 0.0202503493336395, -0.009974228716154847]","[-0.015423236886399357, 0.03870497223037189, -0.018595451930613655, 0.015146109771054114, -0.02774976147370669]",1.0,0.3333333333333333
