bin,n_sims,detection_rate_cont,fpr_uncont,mean_signal_excess,std_signal_excess,ratio10_cont_mean,ratio10_cont_std,ratio10_uncont_mean,ratio10_uncont_std,ratio200_cont_mean,ratio200_uncont_mean,top_template
1,50,100.0,92.0,0.9032755108124908,1.4003627821921432,0.8271535682790204,0.09239131179134306,0.9442107071401779,0.02842578210646959,1.0995444839432884,-1.3462309285568688,ZodiacalLight_VIS
2,50,100.0,86.0,2.281504945587743,1.210806104678786,0.6971787138843708,0.15261747869185838,0.9356940477259738,0.04349513380517021,0.17644240153396404,-0.06820677218972974,ZodiacalLight_VIS
3,50,100.0,80.0,0.5461443311426158,0.7073156781753892,0.8336795012901485,0.11753413217472165,0.9473745164322603,0.03006311455879224,0.7648483471046299,0.8734404594772301,GalacticExtinction_VIS
4,50,100.0,80.0,2.895783364809839,1.4345846592592761,0.7272002738078928,0.1460815880063721,0.9597523647387544,0.02652102572764216,-0.03990267009915225,1.0455163965621406,ZodiacalLight_VIS
5,50,100.0,76.0,2.8176576368096717,1.4875117569400715,0.7000235051443046,0.13786845905999004,0.9492951705037881,0.03371888368259284,0.42710449167360737,0.7082628745853892,GalacticExtinction_VIS
6,50,100.0,80.0,1.091946866614889,1.0016999764582606,0.7775522408122929,0.12960258516105522,0.9590254383458574,0.024557754865395538,0.677446128982165,0.3125138747406096,ZodiacalLight_VIS
