mock_id,n_galaxies,n_good_pix,a_hat,b_hat,var_a,var_b,lrt_lambda,lrt_p,lrt_reject,per_method,a_true,a_bias,b_true,b_bias
10,226401,8064,"[-0.19010418817228647, -0.031689177838040754, 0.014226518513036662]","[0.00408092937685612, 0.05898443411952873, 0.09988461255399966]","[3.6396093088168455e-05, 3.740877517437652e-05, 3.650800958370787e-05]","[6.342529287290901e-05, 5.935489181240337e-05, 5.581890970171814e-05]",216.21786978509772,1.3190669221793007e-46,True,"{'OLS': {'a_hat': [-0.18989662063813742, -0.03178033416045408, 0.007902010797441964], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0005091959992569173, 'a_bias': [-0.021609643476556945, 0.001708168838123407, -0.008373295713058594], 'b_bias': [-0.05862223313592782, -0.0711226579792855, -0.07933472351999253]}, 'ElasticNet': {'a_hat': [-0.18188070127380254, -0.02517906640139891, 0.001149207877949239], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.14547295999909693, 'a_bias': [-0.013593724112222066, 0.008309436597178577, -0.01512609863255132], 'b_bias': [-0.05862223313592782, -0.0711226579792855, -0.07933472351999253]}, 'ISD-1': {'a_hat': [-0.18845881785739813, -0.031230728404314626, 0.0076328621752764355], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.00137639000058698, 'a_bias': [-0.02017184069581765, 0.0022577745942628617, -0.008642444335224122], 'b_bias': [-0.05862223313592782, -0.0711226579792855, -0.07933472351999253]}, 'ISD-3': {'a_hat': [-0.19731853261829824, -0.027797164115442367, 0.004097872915143161], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0231761289996939, 'a_bias': [-0.02903155545671776, 0.005691338883135121, -0.012177433595357397], 'b_bias': [-0.05862223313592782, -0.0711226579792855, -0.07933472351999253]}, 'MCMC-add': {'a_hat': [-0.1902385599566238, -0.031633351430029225, 0.008059824329993711], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5611862581540571, 'elapsed_s': 46.19270749000134, 'a_bias': [-0.021951582795043334, 0.0018551515685482634, -0.008215482180506847], 'b_bias': [-0.05862223313592782, -0.0711226579792855, -0.07933472351999253]}, 'MCMC-comb': {'a_hat': [-0.19010418817228647, -0.031689177838040754, 0.014226518513036662], 'b_hat': [0.00408092937685612, 0.05898443411952873, 0.09988461255399966], 'sigma_hat': 0.5577145220605229, 'elapsed_s': 50.96978077699896, 'a_bias': [-0.021817211010705995, 0.0017993251605367341, -0.002048787997463896], 'b_bias': [-0.0545413037590717, -0.012138223859756776, 0.020549889034007132]}}","[-0.16828697716158048, -0.03348850299857749, 0.01627530651050056]","[-0.021817211010705995, 0.0017993251605367341, -0.002048787997463896]","[0.05862223313592782, 0.0711226579792855, 0.07933472351999253]","[-0.0545413037590717, -0.012138223859756776, 0.020549889034007132]"
11,238552,8064,"[-0.03762234218926098, -0.038354981096288425, 0.06945796052519587]","[0.00420940503166892, -0.1014506184793891, -0.10752504329201448]","[3.683385647899592e-05, 3.358801355760642e-05, 3.6523048517232836e-05]","[6.402082641504927e-05, 5.706626774420285e-05, 6.497354743666757e-05]",329.3531387721705,4.405125205611013e-71,True,"{'OLS': {'a_hat': [-0.03361489501598235, -0.03951751413873125, 0.0720015136721883], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.006519956999909482, 'a_bias': [0.0012576122088614056, 0.006717665127725467, -0.013796074453527096], 'b_bias': [0.01913043248816149, 0.1275686323337922, 0.11332872140034807]}, 'ElasticNet': {'a_hat': [-0.03353949776762075, -0.039445945279865446, 0.07192420704002862], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.2064985950000846, 'a_bias': [0.0013330094572230056, 0.006789233986591273, -0.013873381085686767], 'b_bias': [0.01913043248816149, 0.1275686323337922, 0.11332872140034807]}, 'ISD-1': {'a_hat': [-0.03379068387276066, -0.039818151393606116, 0.07308273413085832], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.004036725000332808, 'a_bias': [0.0010818233520831014, 0.006417027872850603, -0.01271485399485707], 'b_bias': [0.01913043248816149, 0.1275686323337922, 0.11332872140034807]}, 'ISD-3': {'a_hat': [-0.024248232567296746, -0.04582430859940172, 0.06235367477553401], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.047231971000655903, 'a_bias': [0.010624274657547013, 0.0004108706670550022, -0.02344391335018138], 'b_bias': [0.01913043248816149, 0.1275686323337922, 0.11332872140034807]}, 'MCMC-add': {'a_hat': [-0.0336787859664457, -0.03941558704522619, 0.07162950136757845], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5628421057420564, 'elapsed_s': 44.51312626099934, 'a_bias': [0.0011937212583980616, 0.006819592221230526, -0.014168086758136939], 'b_bias': [0.01913043248816149, 0.1275686323337922, 0.11332872140034807]}, 'MCMC-comb': {'a_hat': [-0.03762234218926098, -0.038354981096288425, 0.06945796052519587], 'b_hat': [0.00420940503166892, -0.1014506184793891, -0.10752504329201448], 'sigma_hat': 0.5573336528503917, 'elapsed_s': 63.97011790799843, 'a_bias': [-0.0027498349644172193, 0.007880198170168294, -0.01633962760051952], 'b_bias': [0.02333983751983041, 0.0261180138544031, 0.005803678108333585]}}","[-0.03487250722484376, -0.04623517926645672, 0.08579758812571539]","[-0.0027498349644172193, 0.007880198170168294, -0.01633962760051952]","[-0.01913043248816149, -0.1275686323337922, -0.11332872140034807]","[0.02333983751983041, 0.0261180138544031, 0.005803678108333585]"
12,242071,8064,"[-0.09702901541509806, 0.057443905503590575, 0.015957304051927145]","[0.042841180331860275, -0.029427349029798187, 0.011851529591726324]","[4.196844801027885e-05, 4.089915693144716e-05, 4.0615168227984924e-05]","[6.711348004126414e-05, 6.358826221650501e-05, 7.844261301754758e-05]",44.418012492520575,1.2300919028750571e-09,True,"{'OLS': {'a_hat': [-0.09756183906814676, 0.05739303877875587, 0.016486151205894754], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.000608038999416749, 'a_bias': [-0.0056166104679856305, 0.007676964373379468, 0.002243577598838229], 'b_bias': [-0.06904853540677683, 0.04272526463365343, -0.015853969107671423]}, 'ElasticNet': {'a_hat': [-0.0852907599030596, 0.045901095433002415, 0.004716782485252007], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.21905176200016285, 'a_bias': [0.00665446869710154, -0.0038149789723739905, -0.009525791121804517], 'b_bias': [-0.06904853540677683, 0.04272526463365343, -0.015853969107671423]}, 'ISD-1': {'a_hat': [-0.09793932899688922, 0.05652518772114793, 0.017138139812993773], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.001074495001375908, 'a_bias': [-0.005994100396728083, 0.0068091133157715256, 0.0028955662059372486], 'b_bias': [-0.06904853540677683, 0.04272526463365343, -0.015853969107671423]}, 'ISD-3': {'a_hat': [-0.10770449119131141, 0.053273881203847365, 0.0259250508724882], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.06043748500087531, 'a_bias': [-0.015759262591150278, 0.0035578067984709597, 0.011682477265431677], 'b_bias': [-0.06904853540677683, 0.04272526463365343, -0.015853969107671423]}, 'MCMC-add': {'a_hat': [-0.09745538784584028, 0.05727333503850284, 0.01675697122488037], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5721073098658752, 'elapsed_s': 55.249860899999476, 'a_bias': [-0.005510159245679144, 0.007557260633126436, 0.0025143976178238457], 'b_bias': [-0.06904853540677683, 0.04272526463365343, -0.015853969107671423]}, 'MCMC-comb': {'a_hat': [-0.09702901541509806, 0.057443905503590575, 0.015957304051927145], 'b_hat': [0.042841180331860275, -0.029427349029798187, 0.011851529591726324], 'sigma_hat': 0.5711669402725735, 'elapsed_s': 58.17206740800066, 'a_bias': [-0.00508378681493693, 0.00772783109821417, 0.0017147304448706206], 'b_bias': [-0.026207355074916554, 0.01329791560385524, -0.004002439515945099]}}","[-0.09194522860016113, 0.049716074405376405, 0.014242573607056525]","[-0.00508378681493693, 0.00772783109821417, 0.0017147304448706206]","[0.06904853540677683, -0.04272526463365343, 0.015853969107671423]","[-0.026207355074916554, 0.01329791560385524, -0.004002439515945099]"
13,236805,8064,"[0.06502726292781111, -0.0413313937439267, 0.04693691930824773]","[-0.06080631575078653, -0.03797978499884844, -0.048318255731929716]","[3.3972307833012674e-05, 3.419905212151872e-05, 3.664128622623028e-05]","[5.931301878197479e-05, 6.349409604748901e-05, 6.430729096932133e-05]",116.97328906069743,3.4611682878347207e-25,True,"{'OLS': {'a_hat': [0.06489589945363951, -0.04205749205384432, 0.04775822551055648], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0015143199998419732, 'a_bias': [0.0023368600569058373, -0.011122838081820477, 0.0020807017548153325], 'b_bias': [0.06619259410666513, 0.03630538465650718, 0.03817378939983291]}, 'ElasticNet': {'a_hat': [0.06479853609793974, -0.04196506250656152, 0.04766193851002662], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.5467615340003249, 'a_bias': [0.002239496701206073, -0.011030408534537677, 0.001984414754285471], 'b_bias': [0.06619259410666513, 0.03630538465650718, 0.03817378939983291]}, 'ISD-1': {'a_hat': [0.06523727272821066, -0.042763964263901624, 0.048419087125098535], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.010823574999449193, 'a_bias': [0.002678233331476987, -0.011829310291877781, 0.0027415633693573874], 'b_bias': [0.06619259410666513, 0.03630538465650718, 0.03817378939983291]}, 'ISD-3': {'a_hat': [0.05008765934152034, -0.04239948444941975, 0.03788355583573133], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.06331419200068922, 'a_bias': [-0.012471380055213331, -0.01146483047739591, -0.007793967920009817], 'b_bias': [0.06619259410666513, 0.03630538465650718, 0.03817378939983291]}, 'MCMC-add': {'a_hat': [0.06486105339881261, -0.0421277879097495, 0.04767041139265748], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5330542599278798, 'elapsed_s': 41.8917327049985, 'a_bias': [0.0023020140020789392, -0.011193133937725655, 0.001992887636916331], 'b_bias': [0.06619259410666513, 0.03630538465650718, 0.03817378939983291]}, 'MCMC-comb': {'a_hat': [0.06502726292781111, -0.0413313937439267, 0.04693691930824773], 'b_hat': [-0.06080631575078653, -0.03797978499884844, -0.048318255731929716], 'sigma_hat': 0.5317913259360009, 'elapsed_s': 37.59152270300001, 'a_bias': [0.0024682235310774375, -0.010396739771902856, 0.0012593955525065856], 'b_bias': [0.005386278355878599, -0.001674400342341259, -0.010144466332096806]}}","[0.06255903939673367, -0.030934653972023843, 0.04567752375574115]","[0.0024682235310774375, -0.010396739771902856, 0.0012593955525065856]","[-0.06619259410666513, -0.03630538465650718, -0.03817378939983291]","[0.005386278355878599, -0.001674400342341259, -0.010144466332096806]"
14,246796,8064,"[-0.11269444970137393, 0.04616101103259256, -0.09640251614009421]","[-0.019211494862265074, 0.025390958906703346, -0.05862201718194275]","[3.833867889598058e-05, 3.763099622505142e-05, 3.921973968531789e-05]","[6.381650675461116e-05, 6.110408321614627e-05, 7.75628517099478e-05]",59.165188081353335,8.862955348337063e-13,True,"{'OLS': {'a_hat': [-0.1121154069128273, 0.046657042392819134, -0.09387839669006562], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0007466659990313929, 'a_bias': [0.007468557646076665, -0.002040205685739052, -0.046938162669793226], 'b_bias': [-0.001249411872768743, -0.048074665890590895, -0.04465311760299441]}, 'ElasticNet': {'a_hat': [-0.11199151418148771, 0.04654406922585226, -0.09375588798068224], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.19068730899925868, 'a_bias': [0.007592450377416252, -0.0021531788527059254, -0.04681565396040985], 'b_bias': [-0.001249411872768743, -0.048074665890590895, -0.04465311760299441]}, 'ISD-1': {'a_hat': [-0.11292333547509692, 0.04625532343742762, -0.09621995439986318], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.004367898998680175, 'a_bias': [0.006660629083807046, -0.0024419246411305634, -0.04927972037959079], 'b_bias': [-0.001249411872768743, -0.048074665890590895, -0.04465311760299441]}, 'ISD-3': {'a_hat': [-0.1095645464638029, 0.04497201447730187, -0.11003567085061432], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.023325539001234574, 'a_bias': [0.010019418095101068, -0.003725233601256317, -0.06309543683034192], 'b_bias': [-0.001249411872768743, -0.048074665890590895, -0.04465311760299441]}, 'MCMC-add': {'a_hat': [-0.11193247395459559, 0.04711938076446227, -0.09406966527132744], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5494987056572123, 'elapsed_s': 42.64194088699878, 'a_bias': [0.007651490604308378, -0.0015778673140959196, -0.04712943125105505], 'b_bias': [-0.001249411872768743, -0.048074665890590895, -0.04465311760299441]}, 'MCMC-comb': {'a_hat': [-0.11269444970137393, 0.04616101103259256, -0.09640251614009421], 'b_hat': [-0.019211494862265074, 0.025390958906703346, -0.05862201718194275], 'sigma_hat': 0.5488168611112734, 'elapsed_s': 42.21003379799913, 'a_bias': [0.0068895148575300325, -0.002536237045965624, -0.049462282119821815], 'b_bias': [-0.020460906735033816, -0.02268370698388755, -0.10327513478493716]}}","[-0.11958396455890397, 0.048697248078558186, -0.04694023402027239]","[0.0068895148575300325, -0.002536237045965624, -0.049462282119821815]","[0.001249411872768743, 0.048074665890590895, 0.04465311760299441]","[-0.020460906735033816, -0.02268370698388755, -0.10327513478493716]"
15,236021,8064,"[0.07386967301531915, -0.022406375078311627, -0.019649151403279753]","[0.0015711202378080645, -0.15235871588189942, -0.12921587852978428]","[3.263140846903434e-05, 2.7465244591798003e-05, 3.237156727450899e-05]","[5.6103015477068826e-05, 4.492743738510573e-05, 4.89534570427129e-05]",629.7310688623293,3.612779801927284e-136,True,"{'OLS': {'a_hat': [0.07203424582392631, -0.021729030148093097, -0.014414166630229324], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.00047723699935886543, 'a_bias': [0.005495734926647691, -0.011880481697150735, 0.027915664574186053], 'b_bias': [0.007971821090639906, 0.16873344339580298, 0.14471124724230874]}, 'ElasticNet': {'a_hat': [0.05952861444483839, -0.010142870259696062, -0.00217300636967008], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.09621618699929968, 'a_bias': [-0.007009896452440233, -0.0002943218087536996, 0.0401568248347453], 'b_bias': [0.007971821090639906, 0.16873344339580298, 0.14471124724230874]}, 'ISD-1': {'a_hat': [0.07290799321965469, -0.022020804684950865, -0.014876600040765502], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0017025980014295783, 'a_bias': [0.006369482322376066, -0.012172256234008503, 0.027453231163649876], 'b_bias': [0.007971821090639906, 0.16873344339580298, 0.14471124724230874]}, 'ISD-3': {'a_hat': [0.050933374969935795, -0.03842920343022232, 0.009115875245850872], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.008868947001246852, 'a_bias': [-0.015605135927342827, -0.028580654979279956, 0.05144570645026625], 'b_bias': [0.007971821090639906, 0.16873344339580298, 0.14471124724230874]}, 'MCMC-add': {'a_hat': [0.07204265772362552, -0.021978687042846508, -0.014499841484102575], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5593924495463931, 'elapsed_s': 32.94121042000006, 'a_bias': [0.005504146826346895, -0.012130138591904146, 0.027829989720312802], 'b_bias': [0.007971821090639906, 0.16873344339580298, 0.14471124724230874]}, 'MCMC-comb': {'a_hat': [0.07386967301531915, -0.022406375078311627, -0.019649151403279753], 'b_hat': [0.0015711202378080645, -0.15235871588189942, -0.12921587852978428], 'sigma_hat': 0.5494463896442474, 'elapsed_s': 32.639067823000005, 'a_bias': [0.007331162118040524, -0.012557826627369265, 0.022680679801135625], 'b_bias': [0.00954294132844797, 0.016374727513903564, 0.015495368712524465]}}","[0.06653851089727862, -0.009848548450942362, -0.04232983120441538]","[0.007331162118040524, -0.012557826627369265, 0.022680679801135625]","[-0.007971821090639906, -0.16873344339580298, -0.14471124724230874]","[0.00954294132844797, 0.016374727513903564, 0.015495368712524465]"
16,242117,8064,"[-0.12397884075137885, -0.09485389599019206, 0.0032837968208147762]","[-0.06917445580686402, -0.028158003982066065, 0.11065021856762544]","[3.8712617490144254e-05, 3.7104021347484194e-05, 3.798810295755632e-05]","[6.349016132574557e-05, 5.403555389271191e-05, 6.785387382578132e-05]",257.53538138236945,1.5343966206156152e-55,True,"{'OLS': {'a_hat': [-0.12769094071373446, -0.09748264049179226, 0.0017907609471359792], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.00040015500053414144, 'a_bias': [0.004579020521705779, 0.0022420422683559205, -0.03818666172520769], 'b_bias': [0.09054790553600608, 0.03781625540393897, -0.12992282977860656]}, 'ElasticNet': {'a_hat': [-0.11758438373253001, -0.08796475913531501, 0.0], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.05061843899966334, 'a_bias': [0.014685577502910233, 0.011759923624833163, -0.039977422672343665], 'b_bias': [0.09054790553600608, 0.03781625540393897, -0.12992282977860656]}, 'ISD-1': {'a_hat': [-0.1271524461929568, -0.0961861759408934, -0.00020910800121931437], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.000836089000586071, 'a_bias': [0.00511751504248345, 0.003538506819254772, -0.04018653067356298], 'b_bias': [0.09054790553600608, 0.03781625540393897, -0.12992282977860656]}, 'ISD-3': {'a_hat': [-0.1387127910623332, -0.09078209717544028, -0.011096940731504933], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.005681218999598059, 'a_bias': [-0.006442829826892954, 0.008942585584707896, -0.0510743634038486], 'b_bias': [0.09054790553600608, 0.03781625540393897, -0.12992282977860656]}, 'MCMC-add': {'a_hat': [-0.1277337475046458, -0.09782286922900257, 0.0019280127275142429], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5812422200557683, 'elapsed_s': 37.8801763399988, 'a_bias': [0.004536213730794436, 0.001901813531145602, -0.03804940994482942], 'b_bias': [0.09054790553600608, 0.03781625540393897, -0.12992282977860656]}, 'MCMC-comb': {'a_hat': [-0.12397884075137885, -0.09485389599019206, 0.0032837968208147762], 'b_hat': [-0.06917445580686402, -0.028158003982066065, 0.11065021856762544], 'sigma_hat': 0.5778554326389376, 'elapsed_s': 39.90664542599916, 'a_bias': [0.008291120484061387, 0.004870786769956115, -0.03669362585152889], 'b_bias': [0.02137344972914207, 0.009658251421872908, -0.019272611210981117]}}","[-0.13226996123544024, -0.09972468276014818, 0.039977422672343665]","[0.008291120484061387, 0.004870786769956115, -0.03669362585152889]","[-0.09054790553600608, -0.03781625540393897, 0.12992282977860656]","[0.02137344972914207, 0.009658251421872908, -0.019272611210981117]"
17,246786,8064,"[-0.03750254365899942, 0.07280498512897816, -0.10152186405096342]","[-0.026050224521763178, -0.08102596445350817, -0.03495424594118846]","[4.659360302926759e-05, 4.393762799206786e-05, 5.1228944807820974e-05]","[5.644709945064569e-05, 5.562483666454227e-05, 5.703375170360154e-05]",137.2646180744996,1.4696581276246536e-29,True,"{'OLS': {'a_hat': [-0.03966685432214201, 0.06866123470517198, -0.10318153297888451], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0003626929992606165, 'a_bias': [-0.004040457215999417, -0.0050903221415366795, -0.0098197649778968], 'b_bias': [0.020543755786763002, 0.09500220549105813, 0.03390330759005625]}, 'ElasticNet': {'a_hat': [-0.03956166328256533, 0.06855617305606475, -0.10306900898271028], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.05417551699974865, 'a_bias': [-0.003935266176422737, -0.005195383790643909, -0.00970724098172257], 'b_bias': [0.020543755786763002, 0.09500220549105813, 0.03390330759005625]}, 'ISD-1': {'a_hat': [-0.03963724415965589, 0.06687607880724114, -0.09978530285144746], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.000871059999553836, 'a_bias': [-0.004010847053513296, -0.006875478039467517, -0.006423534850459753], 'b_bias': [0.020543755786763002, 0.09500220549105813, 0.03390330759005625]}, 'ISD-3': {'a_hat': [-0.00824638237405443, 0.09287761811123225, -0.08509036970312281], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.007256432001668145, 'a_bias': [0.027380014732088162, 0.019126061264523597, 0.008271398297864899], 'b_bias': [0.020543755786763002, 0.09500220549105813, 0.03390330759005625]}, 'MCMC-add': {'a_hat': [-0.039806320228499184, 0.06865885605431833, -0.10261647404405898], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.6214081204515735, 'elapsed_s': 15.35083079800097, 'a_bias': [-0.004179923122356592, -0.005092700792390326, -0.00925470604307127], 'b_bias': [0.020543755786763002, 0.09500220549105813, 0.03390330759005625]}, 'MCMC-comb': {'a_hat': [-0.03750254365899942, 0.07280498512897816, -0.10152186405096342], 'b_hat': [-0.026050224521763178, -0.08102596445350817, -0.03495424594118846], 'sigma_hat': 0.6192010022776789, 'elapsed_s': 34.93747373599945, 'a_bias': [-0.001876146552856825, -0.0009465717177304933, -0.00816009604997571], 'b_bias': [-0.005506468735000176, 0.013976241037549963, -0.0010509383511322148]}}","[-0.03562639710614259, 0.07375155684670866, -0.09336176800098771]","[-0.001876146552856825, -0.0009465717177304933, -0.00816009604997571]","[-0.020543755786763002, -0.09500220549105813, -0.03390330759005625]","[-0.005506468735000176, 0.013976241037549963, -0.0010509383511322148]"
18,246837,8064,"[0.06955739806535699, -0.1661943815828521, 0.013229073051518983]","[0.019618013222465352, -0.04504294823878587, -0.1294251494093614]","[4.228432597388215e-05, 4.2443197430725604e-05, 3.826254974682263e-05]","[6.585741291347006e-05, 5.588185763390011e-05, 6.171929351450068e-05]",274.72184713216666,2.9367558051862286e-59,True,"{'OLS': {'a_hat': [0.06844077622806795, -0.16608890720928307, 0.014627967906985874], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.00032597300014458597, 'a_bias': [-0.015590037517671615, 0.00664313510995182, -0.02881439644759986], 'b_bias': [-0.02377356023322779, 0.05941499556967944, 0.14460578543884547]}, 'ElasticNet': {'a_hat': [0.06217650098025572, -0.15943245496706934, 0.008662131890266545], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.04635130399947229, 'a_bias': [-0.021854312765483844, 0.013299587352165548, -0.03478023246431919], 'b_bias': [-0.02377356023322779, 0.05941499556967944, 0.14460578543884547]}, 'ISD-1': {'a_hat': [0.06695086026972408, -0.16444716945156512, 0.012645912076353103], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0007680019989493303, 'a_bias': [-0.017079953476015486, 0.008284872867669768, -0.03079645227823263], 'b_bias': [-0.02377356023322779, 0.05941499556967944, 0.14460578543884547]}, 'ISD-3': {'a_hat': [0.07166474370187555, -0.16242270132873116, 0.03799190347851587], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.004462689999854774, 'a_bias': [-0.012366070043864016, 0.010309340990503735, -0.00545046087606986], 'b_bias': [-0.02377356023322779, 0.05941499556967944, 0.14460578543884547]}, 'MCMC-add': {'a_hat': [0.06848139024220157, -0.1661652455344443, 0.014583291500047599], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5968924959087623, 'elapsed_s': 38.04948602699915, 'a_bias': [-0.015549423503537996, 0.0065667967847905795, -0.028859072854538134], 'b_bias': [-0.02377356023322779, 0.05941499556967944, 0.14460578543884547]}, 'MCMC-comb': {'a_hat': [0.06955739806535699, -0.1661943815828521, 0.013229073051518983], 'b_hat': [0.019618013222465352, -0.04504294823878587, -0.1294251494093614], 'sigma_hat': 0.5924124254635251, 'elapsed_s': 42.19035912700019, 'a_bias': [-0.014473415680382573, 0.006537660736382789, -0.03021329130306675], 'b_bias': [-0.004155547010762439, 0.014372047330893568, 0.01518063602948408]}}","[0.08403081374573956, -0.1727320423192349, 0.04344236435458573]","[-0.014473415680382573, 0.006537660736382789, -0.03021329130306675]","[0.02377356023322779, -0.05941499556967944, -0.14460578543884547]","[-0.004155547010762439, 0.014372047330893568, 0.01518063602948408]"
19,240633,8064,"[-0.006130400301581973, -0.062449437435073654, 0.011181759358324519]","[-0.02305966723379345, 0.14419616519710735, -0.021094403107852915]","[3.7316329158629335e-05, 3.214915302877197e-05, 3.7857037275823094e-05]","[5.724178480723247e-05, 5.340629222231869e-05, 6.76432597961716e-05]",360.6629318325795,7.32368139147714e-78,True,"{'OLS': {'a_hat': [-0.009127836355488896, -0.061635668301367894, 0.010820537973581821], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.000333084999510902, 'a_bias': [-0.016340787126875846, -0.008686397394987652, -0.012447083161888577], 'b_bias': [-0.002185214552344288, -0.16017788913209155, 0.02393556274730243]}, 'ElasticNet': {'a_hat': [-0.0, -0.04337248125024395, 0.0], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0439809889994649, 'a_bias': [-0.007212950771386952, 0.009576789656136293, -0.023267621135470398], 'b_bias': [-0.002185214552344288, -0.16017788913209155, 0.02393556274730243]}, 'ISD-1': {'a_hat': [-0.010122205556439917, -0.061885757384345624, 0.010699487116275937], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0011545060006028507, 'a_bias': [-0.017335156327826867, -0.008936486477965383, -0.01256813401919446], 'b_bias': [-0.002185214552344288, -0.16017788913209155, 0.02393556274730243]}, 'ISD-3': {'a_hat': [-0.005207870802305482, -0.04677007145972134, -0.023719901850189712], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.005806246999782161, 'a_bias': [-0.012420821573692434, 0.006179199446658901, -0.04698752298566011], 'b_bias': [-0.002185214552344288, -0.16017788913209155, 0.02393556274730243]}, 'MCMC-add': {'a_hat': [-0.009073219922252613, -0.06176231870566648, 0.011358540324905575], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5653273606328234, 'elapsed_s': 20.915559312001278, 'a_bias': [-0.016286170693639565, -0.008813047799286239, -0.011909080810564823], 'b_bias': [-0.002185214552344288, -0.16017788913209155, 0.02393556274730243]}, 'MCMC-comb': {'a_hat': [-0.006130400301581973, -0.062449437435073654, 0.011181759358324519], 'b_hat': [-0.02305966723379345, 0.14419616519710735, -0.021094403107852915], 'sigma_hat': 0.5592750923554923, 'elapsed_s': 31.773282725998797, 'a_bias': [-0.013343351072968926, -0.009500166528693413, -0.012085861777145879], 'b_bias': [-0.025244881786137735, -0.015981723934984204, 0.0028411596394495135]}}","[0.007212950771386952, -0.05294927090638024, 0.023267621135470398]","[-0.013343351072968926, -0.009500166528693413, -0.012085861777145879]","[0.002185214552344288, 0.16017788913209155, -0.02393556274730243]","[-0.025244881786137735, -0.015981723934984204, 0.0028411596394495135]"
